Time,Time Code,Country Name,Country Code,"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],"Government expenditure per student, tertiary (% of GDP per capita) [SE.XPD.TERT.PC.ZS]","Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Net migration [SM.POP.NETM],Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Gini index [SI.POV.GINI],Net primary income (Net income from abroad) (constant LCU) [NY.GSR.NFCY.KN],Population growth (annual %) [SP.POP.GROW],"Secondary education, teachers [SE.SEC.TCHR]",Lending interest rate (%) [FR.INR.LEND]
2005,YR2005,"Congo, Dem. Rep.",COD,..,5.39983227705503,..,..,..,2.948,4.938,11.7799002304206,5.35366109030496,..,..,..,53.927,90.7686640355323,954.682839470521,352.321229809401,1.50445261985533,2.87952826492376,..,52.3146046950079,21.3168167229341,20379,..,136.1,..,..,3.11546176922533,..,..
2005,YR2005,"Congo, Rep.",COG,..,12.5058288454194,..,..,..,19.796,40.039,25.9379984821473,56.3952737225809,..,..,1.6810200214386,58.126,73.9877525619541,7926.6277907881,2153.76096711042,12.0498455846018,3.94682345956284,..,119.552892262402,3.09449011456182,38337,..,86.2,47.3,..,3.59877196603076,..,..
2005,YR2005,Costa Rica,CRI,7.76201971923732,13.5128811924967,..,..,81.3713302612305,6.749,15.208,18.9641457289161,16.6705265590345,..,..,..,78.505,41.5807926963086,15692.0111126323,8545.74727395582,7.62843539507747,2.45679896896107,7.53588614603866,89.2226638923224,13.7982949108987,7022,..,11.3,47.5,..,1.47252758666781,..,24.6558333333333
2005,YR2005,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,13.8421414471747,14.7791658534223,..,..,2.91944003105164,51.824,86.7389138525116,4265.68476395459,1514.62055818381,1.45218108383072,-1.26826505224783,9.70344838621907,62.8209360402806,3.88583039886476,-117468,..,122.1,..,..,2.26751371599435,..,7.04916666666667
2005,YR2005,Croatia,HRV,1.53509908105131,19.9354273704209,..,47.2947196960449,99.0768890380859,12.598,32.263,26.0720879403212,17.3874791386392,..,..,5.36704969406128,75.2446341463415,23.9700080434869,27644.446755039,11523.8771567415,4.03043054475952,4.17330140937484,28.6907163151384,81.469602570542,3.31717824448045,-3834,..,6.7,..,..,0.128732789322745,39472,11.1911166666667
2005,YR2005,Cuba,CUB,6.08210089280617,33.6483604954105,..,60.205940246582,92.6184310913086,1.95,..,10.774593517397,13.449503901456,55.5874,47.773,10.5577802658081,77.047,27.7637906512185,..,5189.92860406232,..,10.9957882455721,..,39.3613744331974,..,-11973,..,7.1,..,..,0.185302193413535,84827,..
2005,YR2005,Curacao,CUW,17.6554871216803,16.0737660531258,..,..,..,..,..,..,18.9949859904953,..,..,..,73.5657073170732,35.5800353298735,33482.2022013892,21112.3219220136,..,-1.85843997498654,..,134.911459782692,4.11711711711708,1460,..,..,..,..,2.55007380740239,..,..
2005,YR2005,Cyprus,CYP,1.92852593602212,16.5136248030502,..,34.102180480957,94.0052337646484,5.481,14.6,22.4482479311924,21.9153956206275,52.86496,32.41409,6.28667020797729,78.101,28.5203678425174,42132.99609375,25631.255859375,6.30362711595489,3.35377251789228,..,111.917072822542,2.56016132330234,13237,..,4.7,30.3,..,1.78801171115289,5694,..
2005,YR2005,Czechia,CZE,1.05057210947,20.3168309237792,..,49.1181411743164,96.0492401123047,7.927,19.271,29.5512145266574,31.879707852536,24.82194,20.9006,3.86591005325317,75.9243902439025,20.6498922528604,36106.9410155147,14978.4131869153,10.0115335790166,6.45426173686403,25.4378933697062,121.297960403591,1.8570978910922,24895,..,4.4,26.9,-175604093000,0.138325980046718,93330,5.77666666666667
2005,YR2005,Denmark,DNK,..,24.4986889118824,..,80.8124618530273,122.080146789551,4.83,8.614,22.2064484414116,27.7109417807115,54.10622,34.25592,8.08557033538818,77.8439024390244,28.2022956386876,61180.5288382455,51835.8327062445,4.857700582033,2.05511051582938,..,89.3997408561776,1.81781458291254,11693,..,4.8,25.2,14885290000,0.275481733409308,..,..
